Subject,Detection Probability,Sex,Correct,Median(Latency)
01a,0.188925,m,1,39.09
01a,0.232775,m,1,42.9201
01a,0.333637,m,1,.
01a,0.363535,m,1,44.1
01a,0.369824,m,1,40.41
01a,0.377538,m,1,.
01a,0.396796,m,1,64.33
01a,0.44005,m,1,53.56
01a,0.46532,m,1,29.6
01a,0.528853,m,1,32.94
01a,0.599027,m,1,44.26
01a,0.603442,m,1,52.78
01a,0.608604,m,1,41.87
01a,0.62365,m,1,35.54
01a,0.653048,m,1,27.68
01a,0.714117,m,0,45.98
01a,0.717885,m,1,52.59
01a,0.748358,m,1,82.47
01a,0.75339,m,1,47.49
01a,0.762236,m,1,42.49
01a,0.785137,m,1,45.3
01a,0.791575,m,1,54.41
01a,0.833119,m,1,60.97
01a,0.837215,m,1,40.12
01a,0.846545,m,1,52.38
01a,0.8928,m,1,52.04
01a,0.893881,m,1,.
01a,0.95435,m,1,.
01b,0.181116,.,0,37.4602
01b,0.18375,.,0,54.65
01b,0.302494,.,1,54.88
01b,0.307002,.,1,38.43
01b,0.359386,.,1,64.9
01b,0.360724,.,1,46.56
01b,0.36365,.,1,35.85
01b,0.398094,.,1,59.58
01b,0.424945,.,1,51.54
01b,0.434254,.,1,25.6
01b,0.48509,.,1,48.59
01b,0.494369,.,1,38.83
01b,0.563476,.,1,39.8199
01b,0.590319,.,1,31.37
01b,0.606846,.,1,41.52
01b,0.612332,.,1,37.4
01b,0.680424,.,0,46.98
01b,0.687186,.,1,41.67
01b,0.70858,.,1,51.47
01b,0.723564,.,1,.
01b,0.751007,.,1,69.84
01b,0.784404,.,1,.
01b,0.7872,.,1,37.51
01b,0.808665,.,1,60.25
01b,0.821638,.,1,.
01b,0.954887,.,1,51.59
01b,0.982528,.,0,.
01b,0.9921,.,1,63.47
01c,0.211674,f,1,55.99
01c,0.237695,f,1,100.21
01c,0.254074,f,1,.
01c,0.279664,f,1,40.98
01c,0.294452,f,1,.
01c,0.294569,f,1,50.16
01c,0.338751,f,1,49.08
01c,0.359458,f,1,32.15
01c,0.389655,f,1,48.59
01c,0.407968,f,1,68.72
01c,0.445122,f,1,70.14
01c,0.498308,f,1,24.83
01c,0.521633,f,1,69.7399
01c,0.531499,f,1,80.23
01c,0.556572,f,1,46.0198
01c,0.615778,f,1,70.72
01c,0.622699,f,1,60.89
01c,0.637045,f,1,69.33
01c,0.668012,f,1,76.3
01c,0.674867,f,1,99.2
01c,0.728437,f,1,89.38
01c,0.81112,f,1,.
01c,0.836264,f,1,78.56
01c,0.846247,f,0,57.27
01c,0.855133,f,1,.
01c,0.867096,f,1,50.62
01c,0.874213,f,1,55.33
01c,0.875207,f,1,54.59
01d,0.19729,f,1,.
01d,0.198238,f,1,67.57
01d,0.208611,f,0,63.28
01d,0.2234,f,1,48.67
01d,0.223794,f,1,54.46
01d,0.236895,f,0,55.14
01d,0.252772,f,1,122.37
01d,0.254829,f,0,46.37
01d,0.283824,f,1,.
01d,0.288231,f,1,.
01d,0.351999,f,1,57.7
01d,0.376307,f,1,50.67
01d,0.42565,f,0,48.06
01d,0.488824,f,1,30.35
01d,0.583829,f,1,56.66
01d,0.612274,f,1,48.37
01d,0.614911,f,1,83.6699
01d,0.683865,f,1,69.89
01d,0.701924,f,1,24.6501
01d,0.770649,f,1,60.75
01d,0.788805,f,1,65.5799
01d,0.804913,f,1,37.13
01d,0.820246,f,1,46.25
01d,0.839012,f,1,112.79
01d,0.88727,f,1,65.14
01d,0.922307,f,1,33.69
01d,0.93278,f,0,47.55
01d,0.984595,f,1,.
02a,0.165604,f,1,60.69
02a,0.199151,f,0,.
02a,0.272694,f,1,.
02a,0.299528,f,0,72.81
02a,0.31236,f,1,71.243
02a,0.321775,f,1,104.67
02a,0.347418,f,1,32.33
02a,0.395519,f,1,51.26
02a,0.406774,f,1,54.78
02a,0.435604,f,1,41.25
02a,0.436063,f,1,53.373
02a,0.503814,f,1,51.81
02a,0.577498,f,0,46.55
02a,0.595896,f,1,66.09
02a,0.602586,f,1,35.84
