Subject,ITI,Ratio,N Rows,"Sum(Press?, Go)","Sum(Press?, Stop)"
101a,577,6,150,127,1
101b,522,7,150,128,9
101c,1010,6,150,122,6
101d,1024,6,150,122,1
102a,847,8,150,130,12
102b,1018,6,150,125,14
102c,946,6,150,120,1
102d,509,9,150,74,1
103a,1142,7,150,132,8
103b,743,2,150,103,4
103c,1037,7,150,124,9
103d,802,8,150,132,7
104a,988,2,150,60,1
104b,462,7,150,121,3
104d,708,1,150,71,0
105a,450,1,150,63,0
105b,450,10,150,113,2
105c,1250,1,150,80,4
105d,1250,10,150,123,5
106a,561,3,150,105,8
106b,869,4,150,114,9
106c,899,6,150,125,6
106d,1114,6,150,129,3
107a,770,9,150,135,7
107b,1164,8,150,128,8
107c,940,2,150,98,4
107d,815,9,150,138,5
108a,1201,3,150,108,2
108b,581,2,150,92,2
108c,1228,1,150,76,4
108d,980,8,150,133,5
109a,458,5,150,135,5
109b,974,8,150,134,5
109c,941,7,150,124,5
109d,475,3,150,109,16
110a,450,1,150,76,3
110b,450,10,150,98,13
110c,1250,1,150,78,3
110d,1250,10,150,135,1
111a,700,2,150,97,14
111b,946,8,150,142,3
111c,1188,3,150,120,3
111d,514,4,150,118,10
112a,848,3,150,104,0
112b,624,4,150,120,7
112c,1199,6,150,120,3
112d,595,5,150,123,10
113a,1172,9,150,130,7
113b,593,5,150,121,8
113c,856,5,150,119,1
113d,620,5,150,117,5
114a,978,9,150,135,0
114b,755,1,150,36,26
114c,1046,1,150,73,4
114d,647,3,150,101,5
116a,808,7,150,121,11
116b,470,6,150,123,7
116c,1053,8,150,132,1
116d,829,8,150,127,7
117a,1037,5,150,125,4
117b,926,8,150,135,4
117c,764,3,150,109,5
117d,554,6,150,114,7
118a,660,5,150,126,4
118b,1151,4,150,115,4
118c,817,5,150,4,24
119b,1140,1,150,67,1
119c,785,3,150,125,5
119d,520,6,150,119,12
121B,985,3,150,112,5
121c,1100,9,150,129,2
121d,469,3,150,97,8
201a,450,1,150,73,5
201b,450,10,150,117,10
201c,1250,1,150,75,8
201d,1250,10,150,136,4
202a,453,7,150,122,12
202b,990,4,150,118,6
202c,1174,1,150,76,5
202d,1216,9,150,125,6
203a,1156,4,150,115,4
203b,522,4,150,115,8
203c,1150,1,150,69,2
203d,570,3,150,108,8
204a,981,2,150,105,1
204b,485,4,150,100,8
204d,759,9,150,122,8
205c,503,9,150,127,9
